INFO:root:Epoch: 0, Train Loss: 1.3649420577746172, Train Acc: 0.750075101852417, Val Loss: 1.3306046082423284, Val Acc: 0.75
INFO:root:Epoch: 1, Train Loss: 1.286228596017911, Train Acc: 0.7762587070465088, Val Loss: 1.2122668302976167, Val Acc: 0.8277760148048401
INFO:root:Epoch: 2, Train Loss: 1.190523304618322, Train Acc: 0.8209496140480042, Val Loss: 1.108245849609375, Val Acc: 0.8807576298713684
INFO:root:Epoch: 3, Train Loss: 1.1298332546765988, Train Acc: 0.8422225713729858, Val Loss: 1.0425768907253559, Val Acc: 0.8921952843666077
INFO:root:Epoch: 4, Train Loss: 1.0871114501586328, Train Acc: 0.8556829690933228, Val Loss: 1.000290347979619, Val Acc: 0.9053970575332642
INFO:root:Epoch: 5, Train Loss: 1.0594471756082315, Train Acc: 0.8641186952590942, Val Loss: 0.9742920536261338, Val Acc: 0.9035941362380981
INFO:root:Epoch: 6, Train Loss: 1.0349506070980659, Train Acc: 0.8758235573768616, Val Loss: 0.9569988663379962, Val Acc: 0.9041756987571716
INFO:root:Epoch: 7, Train Loss: 1.0132553021495159, Train Acc: 0.8854055404663086, Val Loss: 0.9452068897394034, Val Acc: 0.9035747051239014
INFO:root:Epoch: 8, Train Loss: 1.006398808497649, Train Acc: 0.8837862610816956, Val Loss: 0.9384802396480854, Val Acc: 0.9084212183952332
INFO:root:Epoch: 9, Train Loss: 0.9989275129941794, Train Acc: 0.8845792412757874, Val Loss: 0.9334570719645574, Val Acc: 0.9090222120285034
INFO:root:Epoch: 10, Train Loss: 0.9944756999611855, Train Acc: 0.8866130113601685, Val Loss: 0.9298727741608253, Val Acc: 0.9114260077476501
INFO:root:Epoch: 11, Train Loss: 0.9889964214884318, Train Acc: 0.8909366130828857, Val Loss: 0.9271878141623277, Val Acc: 0.9126279354095459
INFO:root:Epoch: 12, Train Loss: 0.9868212405305642, Train Acc: 0.8889751434326172, Val Loss: 0.9246892012082614, Val Acc: 0.9126279354095459
INFO:root:Epoch: 13, Train Loss: 0.9785374815647419, Train Acc: 0.8915653824806213, Val Loss: 0.9224610649622403, Val Acc: 0.9150317907333374
INFO:root:Epoch: 14, Train Loss: 0.9787082081803908, Train Acc: 0.893031656742096, Val Loss: 0.9207770044987018, Val Acc: 0.9138298630714417
INFO:root:Epoch: 15, Train Loss: 0.9723708973481104, Train Acc: 0.893348753452301, Val Loss: 0.9200006356606116, Val Acc: 0.9138298630714417
INFO:root:Epoch: 16, Train Loss: 0.9691851609028302, Train Acc: 0.8944950699806213, Val Loss: 0.9186045848406278, Val Acc: 0.9156327843666077
INFO:root:Epoch: 17, Train Loss: 0.9674041569232941, Train Acc: 0.8959417939186096, Val Loss: 0.9177178694651678, Val Acc: 0.9156327843666077
INFO:root:Epoch: 18, Train Loss: 0.9678306831763341, Train Acc: 0.8957443237304688, Val Loss: 0.916378589776846, Val Acc: 0.9150317907333374
INFO:root:Epoch: 19, Train Loss: 0.9619790074916986, Train Acc: 0.8990968465805054, Val Loss: 0.9155320571019099, Val Acc: 0.9150317907333374
INFO:root:Epoch: 20, Train Loss: 0.9616525270617925, Train Acc: 0.8975750207901001, Val Loss: 0.9148315328818101, Val Acc: 0.9150317907333374
INFO:root:Epoch: 21, Train Loss: 0.9595155985309527, Train Acc: 0.8987017869949341, Val Loss: 0.9138358327058645, Val Acc: 0.9138298630714417
INFO:root:Epoch: 22, Train Loss: 0.9586419262565099, Train Acc: 0.898448646068573, Val Loss: 0.9132060500291678, Val Acc: 0.9138298630714417
INFO:root:Epoch: 23, Train Loss: 0.9602254531704463, Train Acc: 0.8986127376556396, Val Loss: 0.9124604555276724, Val Acc: 0.9138298630714417
INFO:root:Epoch: 24, Train Loss: 0.9615387343443357, Train Acc: 0.8971103429794312, Val Loss: 0.9114036147411053, Val Acc: 0.9138298630714417
INFO:root:Epoch: 25, Train Loss: 0.9609496146440506, Train Acc: 0.8974387049674988, Val Loss: 0.9110817129795368, Val Acc: 0.9138298630714417
INFO:root:Epoch: 26, Train Loss: 0.9580313592002943, Train Acc: 0.8987963795661926, Val Loss: 0.9103431059763982, Val Acc: 0.9144308567047119
INFO:root:Epoch: 27, Train Loss: 0.9581355968346963, Train Acc: 0.8974387049674988, Val Loss: 0.9097830423941979, Val Acc: 0.9144308567047119
INFO:root:Epoch: 28, Train Loss: 0.9527030598658782, Train Acc: 0.901987612247467, Val Loss: 0.9094641346197861, Val Acc: 0.9150317907333374
INFO:root:Epoch: 29, Train Loss: 0.954620995773719, Train Acc: 0.9000205993652344, Val Loss: 0.9093687534332275, Val Acc: 0.9144308567047119
INFO:root:Epoch: 30, Train Loss: 0.9526731475041463, Train Acc: 0.9012475609779358, Val Loss: 0.9085189562577468, Val Acc: 0.9174550175666809
INFO:root:Epoch: 31, Train Loss: 0.9516995211060231, Train Acc: 0.8997451066970825, Val Loss: 0.9077196304614727, Val Acc: 0.9174550175666809
INFO:root:Epoch: 32, Train Loss: 0.9502855688333511, Train Acc: 0.9030781984329224, Val Loss: 0.9071522630178012, Val Acc: 0.9180559515953064
INFO:root:Epoch: 33, Train Loss: 0.9467346175358846, Train Acc: 0.9036235809326172, Val Loss: 0.9068029614595267, Val Acc: 0.9180559515953064
INFO:root:Epoch: 34, Train Loss: 0.947255059503592, Train Acc: 0.902866780757904, Val Loss: 0.9062599539756775, Val Acc: 0.9204791784286499
INFO:root:Epoch: 35, Train Loss: 0.9461301244222201, Train Acc: 0.9030781984329224, Val Loss: 0.9062993709857647, Val Acc: 0.9186763167381287
