INFO:root:Epoch: 0, Train Loss: 1.2407703090172548, Train Acc: 0.8045205473899841, Val Loss: 1.0610520656292255, Val Acc: 0.8939787745475769
INFO:root:Epoch: 1, Train Loss: 1.009494110941887, Train Acc: 0.8931151032447815, Val Loss: 0.9428737713740423, Val Acc: 0.9157296419143677
INFO:root:Epoch: 2, Train Loss: 0.9548888051739106, Train Acc: 0.9034538269042969, Val Loss: 0.9251254292634817, Val Acc: 0.9121045470237732
INFO:root:Epoch: 3, Train Loss: 0.9424610837147787, Train Acc: 0.9061303734779358, Val Loss: 0.9202164365695074, Val Acc: 0.9121045470237732
INFO:root:Epoch: 4, Train Loss: 0.9375016098985305, Train Acc: 0.9069093465805054, Val Loss: 0.9184322723975549, Val Acc: 0.9121045470237732
INFO:root:Epoch: 5, Train Loss: 0.9349030216152852, Train Acc: 0.9067229628562927, Val Loss: 0.9171578333928034, Val Acc: 0.9127054810523987
INFO:root:Epoch: 6, Train Loss: 0.9330202255111474, Train Acc: 0.9072849750518799, Val Loss: 0.9163426298361558, Val Acc: 0.9127054810523987
INFO:root:Epoch: 7, Train Loss: 0.9318256395367476, Train Acc: 0.9071903824806213, Val Loss: 0.915847686620859, Val Acc: 0.9139074087142944
INFO:root:Epoch: 8, Train Loss: 0.9307700120485746, Train Acc: 0.9075743556022644, Val Loss: 0.9152276011613699, Val Acc: 0.9139074087142944
INFO:root:Epoch: 9, Train Loss: 0.9303209397655267, Train Acc: 0.90731281042099, Val Loss: 0.91462720815952, Val Acc: 0.9139074087142944
INFO:root:Epoch: 10, Train Loss: 0.9295271365688398, Train Acc: 0.9074435830116272, Val Loss: 0.9146377811065087, Val Acc: 0.9139074087142944
INFO:root:Epoch: 11, Train Loss: 0.9289163568845162, Train Acc: 0.9077718257904053, Val Loss: 0.913755150941702, Val Acc: 0.913306474685669
INFO:root:Epoch: 12, Train Loss: 0.9285042308844053, Train Acc: 0.9075854420661926, Val Loss: 0.9123749916370099, Val Acc: 0.913306474685669
INFO:root:Epoch: 13, Train Loss: 0.9278763716037457, Train Acc: 0.9080361723899841, Val Loss: 0.9115380278000464, Val Acc: 0.913306474685669
