INFO:root:Epoch: 0, Train Loss: 1.3242724216901338, Train Acc: 0.7647179961204529, Val Loss: 1.2461795440086951, Val Acc: 0.7987942099571228
INFO:root:Epoch: 1, Train Loss: 1.1679177009142363, Train Acc: 0.8384943604469299, Val Loss: 1.0914691044734075, Val Acc: 0.8746510148048401
INFO:root:Epoch: 2, Train Loss: 1.051850319481813, Train Acc: 0.8827012181282043, Val Loss: 1.0194993890248811, Val Acc: 0.8854877948760986
INFO:root:Epoch: 3, Train Loss: 0.9981900126888201, Train Acc: 0.8938663005828857, Val Loss: 0.9834913290463961, Val Acc: 0.8945215940475464
INFO:root:Epoch: 4, Train Loss: 0.9716871019739372, Train Acc: 0.9010695219039917, Val Loss: 0.9632278038905218, Val Acc: 0.8993292450904846
INFO:root:Epoch: 5, Train Loss: 0.9578245362410178, Train Acc: 0.9030866026878357, Val Loss: 0.9534773184702947, Val Acc: 0.8993292450904846
INFO:root:Epoch: 6, Train Loss: 0.9499154440485514, Train Acc: 0.9033035635948181, Val Loss: 0.9491770817683294, Val Acc: 0.9023340940475464
INFO:root:Epoch: 7, Train Loss: 0.9448538479896692, Train Acc: 0.9065142869949341, Val Loss: 0.9430875090452341, Val Acc: 0.9047378897666931
INFO:root:Epoch: 8, Train Loss: 0.9414902272132727, Train Acc: 0.9065337777137756, Val Loss: 0.9394361009964576, Val Acc: 0.9047378897666931
INFO:root:Epoch: 9, Train Loss: 0.9389053927018092, Train Acc: 0.9070401787757874, Val Loss: 0.938607027897468, Val Acc: 0.9047378897666931
INFO:root:Epoch: 10, Train Loss: 0.9374947186846, Train Acc: 0.9062249660491943, Val Loss: 0.936033193881695, Val Acc: 0.9107475280761719
INFO:root:Epoch: 11, Train Loss: 0.9356255823603044, Train Acc: 0.906044065952301, Val Loss: 0.9363095576946552, Val Acc: 0.9035359621047974
INFO:root:Epoch: 12, Train Loss: 0.934801194530267, Train Acc: 0.9062054753303528, Val Loss: 0.9335114589104285, Val Acc: 0.9107475280761719
INFO:root:Epoch: 13, Train Loss: 0.9338366217338122, Train Acc: 0.9073795676231384, Val Loss: 0.9306030548535861, Val Acc: 0.9107475280761719
INFO:root:Epoch: 14, Train Loss: 0.9328609945682379, Train Acc: 0.9072933197021484, Val Loss: 0.9305365819197434, Val Acc: 0.9107475280761719
INFO:root:Epoch: 15, Train Loss: 0.93228157552389, Train Acc: 0.9075854420661926, Val Loss: 0.9310189531399653, Val Acc: 0.9107475280761719
INFO:root:Epoch: 16, Train Loss: 0.931544860968223, Train Acc: 0.9068148136138916, Val Loss: 0.9288723468780518, Val Acc: 0.9107475280761719
INFO:root:Epoch: 17, Train Loss: 0.9311361759901047, Train Acc: 0.9075381755828857, Val Loss: 0.9283568217204168, Val Acc: 0.9107475280761719
INFO:root:Epoch: 18, Train Loss: 0.9306880155434976, Train Acc: 0.9073517918586731, Val Loss: 0.9293761711854202, Val Acc: 0.9107475280761719
INFO:root:Epoch: 19, Train Loss: 0.9302364094899251, Train Acc: 0.9075381755828857, Val Loss: 0.9271186819443336, Val Acc: 0.9107475280761719
INFO:root:Epoch: 20, Train Loss: 0.930006545323592, Train Acc: 0.9075771570205688, Val Loss: 0.9273575040010306, Val Acc: 0.9107475280761719
INFO:root:Epoch: 21, Train Loss: 0.9291026918933942, Train Acc: 0.9081001877784729, Val Loss: 0.9268792500862708, Val Acc: 0.9107475280761719
INFO:root:Epoch: 22, Train Loss: 0.9291202202439308, Train Acc: 0.9085203409194946, Val Loss: 0.9260067068613492, Val Acc: 0.9107475280761719
INFO:root:Epoch: 23, Train Loss: 0.9283226499190698, Train Acc: 0.9085425734519958, Val Loss: 0.9272167315849891, Val Acc: 0.9113484621047974
INFO:root:Epoch: 24, Train Loss: 0.9280173755609072, Train Acc: 0.9084674119949341, Val Loss: 0.9241782014186566, Val Acc: 0.9107475280761719
INFO:root:Epoch: 25, Train Loss: 0.9280485063791275, Train Acc: 0.9086427092552185, Val Loss: 0.9241032371154199, Val Acc: 0.9107475280761719
INFO:root:Epoch: 26, Train Loss: 0.9273618803574488, Train Acc: 0.909622073173523, Val Loss: 0.9236080004618719, Val Acc: 0.9113484621047974
INFO:root:Epoch: 27, Train Loss: 0.9270418607271634, Train Acc: 0.9094913005828857, Val Loss: 0.9248664929316595, Val Acc: 0.9113484621047974
INFO:root:Epoch: 28, Train Loss: 0.9265266410433329, Train Acc: 0.90900719165802, Val Loss: 0.922617834347945, Val Acc: 0.9113484621047974
