INFO:root:Epoch: 0, Train Loss: 1.3693124927007234, Train Acc: 0.75, Val Loss: 1.3401918136156523, Val Acc: 0.75
INFO:root:Epoch: 1, Train Loss: 1.268077049117822, Train Acc: 0.7942819595336914, Val Loss: 1.204239927805387, Val Acc: 0.7958087921142578
INFO:root:Epoch: 2, Train Loss: 1.121586803633433, Train Acc: 0.8414045572280884, Val Loss: 1.0545259026380687, Val Acc: 0.8662375807762146
INFO:root:Epoch: 3, Train Loss: 0.9920129437859242, Train Acc: 0.903256356716156, Val Loss: 0.9731939435005188, Val Acc: 0.8951225280761719
INFO:root:Epoch: 4, Train Loss: 0.9500219357701448, Train Acc: 0.9071347117424011, Val Loss: 0.95519875563108, Val Acc: 0.8988058567047119
INFO:root:Epoch: 5, Train Loss: 0.9362813509427584, Train Acc: 0.9091991186141968, Val Loss: 0.9439930549034705, Val Acc: 0.8994067907333374
INFO:root:Epoch: 6, Train Loss: 0.9307996069009488, Train Acc: 0.9107683897018433, Val Loss: 0.9425311592909006, Val Acc: 0.9000077843666077
INFO:root:Epoch: 7, Train Loss: 0.9269214410048264, Train Acc: 0.9112942218780518, Val Loss: 0.9351151356330285, Val Acc: 0.9084212183952332
INFO:root:Epoch: 8, Train Loss: 0.9243364036083221, Train Acc: 0.9128995537757874, Val Loss: 0.9369396750743573, Val Acc: 0.9006087183952332
INFO:root:Epoch: 9, Train Loss: 0.9219323511307056, Train Acc: 0.9134809970855713, Val Loss: 0.931356260409722, Val Acc: 0.9090222120285034
INFO:root:Epoch: 10, Train Loss: 0.9214332155310191, Train Acc: 0.9130414128303528, Val Loss: 0.9327666484392606, Val Acc: 0.9090222120285034
INFO:root:Epoch: 11, Train Loss: 0.9203214696966685, Train Acc: 0.9123931527137756, Val Loss: 0.9295590840853177, Val Acc: 0.9084212183952332
INFO:root:Epoch: 12, Train Loss: 0.9191718388062257, Train Acc: 0.9133307337760925, Val Loss: 0.9302116586611822, Val Acc: 0.9090222120285034
INFO:root:Epoch: 13, Train Loss: 0.9188403882659398, Train Acc: 0.9128995537757874, Val Loss: 0.9294623870116013, Val Acc: 0.9084212183952332
INFO:root:Epoch: 14, Train Loss: 0.9179042039009241, Train Acc: 0.9140068292617798, Val Loss: 0.9307408241125253, Val Acc: 0.9084212183952332
INFO:root:Epoch: 15, Train Loss: 0.9174485573401818, Train Acc: 0.9135478138923645, Val Loss: 0.9271517854470473, Val Acc: 0.9084212183952332
