INFO:root:Epoch: 0, Train Loss: 1.3785310674172182, Train Acc: 0.75, Val Loss: 1.363947684948261, Val Acc: 0.75
INFO:root:Epoch: 1, Train Loss: 1.2557183916752155, Train Acc: 0.785609781742096, Val Loss: 1.0936644902596107, Val Acc: 0.8374108672142029
INFO:root:Epoch: 2, Train Loss: 0.9896343424916267, Train Acc: 0.8923555612564087, Val Loss: 0.9167351951965919, Val Acc: 0.9199170470237732
INFO:root:Epoch: 3, Train Loss: 0.9284792255896789, Train Acc: 0.9111912250518799, Val Loss: 0.9065749874481788, Val Acc: 0.9199170470237732
INFO:root:Epoch: 4, Train Loss: 0.922584059719856, Train Acc: 0.9125016927719116, Val Loss: 0.9017333250779372, Val Acc: 0.921118974685669
INFO:root:Epoch: 5, Train Loss: 0.9199554312687653, Train Acc: 0.9132945537567139, Val Loss: 0.8997648862692026, Val Acc: 0.9205179810523987
INFO:root:Epoch: 6, Train Loss: 0.9185396226552817, Train Acc: 0.9139233827590942, Val Loss: 0.8991727553881131, Val Acc: 0.9223595857620239
INFO:root:Epoch: 7, Train Loss: 0.9171821194199415, Train Acc: 0.914073646068573, Val Loss: 0.8988626507612375, Val Acc: 0.9223595857620239
INFO:root:Epoch: 8, Train Loss: 0.9167973863390776, Train Acc: 0.9143267869949341, Val Loss: 0.898121178150177, Val Acc: 0.9223595857620239
INFO:root:Epoch: 9, Train Loss: 0.9159491044970659, Train Acc: 0.9146077632904053, Val Loss: 0.8981573719244736, Val Acc: 0.9229605793952942
INFO:root:Epoch: 10, Train Loss: 0.9154434857460169, Train Acc: 0.9149082899093628, Val Loss: 0.8974534639945397, Val Acc: 0.9217199087142944
INFO:root:Epoch: 11, Train Loss: 0.9150284689206344, Train Acc: 0.9149472117424011, Val Loss: 0.8955121773939866, Val Acc: 0.9235228300094604
INFO:root:Epoch: 12, Train Loss: 0.9148261558551055, Train Acc: 0.9152282476425171, Val Loss: 0.8978217794344976, Val Acc: 0.9229605793952942
INFO:root:Epoch: 13, Train Loss: 0.9147007356469448, Train Acc: 0.9148248434066772, Val Loss: 0.8982400985864493, Val Acc: 0.9229605793952942
INFO:root:Epoch: 14, Train Loss: 0.9142293546062249, Train Acc: 0.9150780439376831, Val Loss: 0.8983249297508826, Val Acc: 0.9229605793952942
INFO:root:Epoch: 15, Train Loss: 0.91405438631773, Train Acc: 0.9153033494949341, Val Loss: 0.8980258978330172, Val Acc: 0.9229605793952942
INFO:root:Epoch: 16, Train Loss: 0.9140054176633174, Train Acc: 0.9152476787567139, Val Loss: 0.8975356954794663, Val Acc: 0.9229605793952942
INFO:root:Epoch: 17, Train Loss: 0.9139252711947148, Train Acc: 0.9151920676231384, Val Loss: 0.8967928015268766, Val Acc: 0.9229605793952942
INFO:root:Epoch: 18, Train Loss: 0.9135283208810366, Train Acc: 0.9153589606285095, Val Loss: 0.8973782521027786, Val Acc: 0.9217199087142944
INFO:root:Epoch: 19, Train Loss: 0.9137913733720779, Train Acc: 0.9152199029922485, Val Loss: 0.8976617684731116, Val Acc: 0.9217199087142944
INFO:root:Epoch: 20, Train Loss: 0.9134778993634077, Train Acc: 0.9153033494949341, Val Loss: 0.8981014077480023, Val Acc: 0.9217199087142944
INFO:root:Epoch: 21, Train Loss: 0.9134231484853305, Train Acc: 0.9153033494949341, Val Loss: 0.8974450872494624, Val Acc: 0.9217199087142944
INFO:root:Epoch: 22, Train Loss: 0.913343234704091, Train Acc: 0.9153033494949341, Val Loss: 0.8977585389063909, Val Acc: 0.9217199087142944
INFO:root:Epoch: 23, Train Loss: 0.9132717314821023, Train Acc: 0.9153033494949341, Val Loss: 0.8979651744549091, Val Acc: 0.9217199087142944
INFO:root:Epoch: 24, Train Loss: 0.9134796662972524, Train Acc: 0.91512531042099, Val Loss: 0.897920677295098, Val Acc: 0.9229605793952942
INFO:root:Epoch: 25, Train Loss: 0.9130692172508973, Train Acc: 0.9153589606285095, Val Loss: 0.8980296758505014, Val Acc: 0.9217199087142944
INFO:root:Epoch: 26, Train Loss: 0.9131058580600299, Train Acc: 0.9153311848640442, Val Loss: 0.897921663064223, Val Acc: 0.9217199087142944
INFO:root:Epoch: 27, Train Loss: 0.9132227530846229, Train Acc: 0.9152476787567139, Val Loss: 0.8979784066860492, Val Acc: 0.9217199087142944
INFO:root:Epoch: 28, Train Loss: 0.9130361928389623, Train Acc: 0.9153311848640442, Val Loss: 0.8977583555074838, Val Acc: 0.9217199087142944
INFO:root:Epoch: 29, Train Loss: 0.9130065785004542, Train Acc: 0.9153311848640442, Val Loss: 0.8979723224273095, Val Acc: 0.9217199087142944
INFO:root:Epoch: 30, Train Loss: 0.9129393077813662, Train Acc: 0.9153589606285095, Val Loss: 0.8978434113355783, Val Acc: 0.9229605793952942
INFO:root:Epoch: 31, Train Loss: 0.9128978579090192, Train Acc: 0.9153589606285095, Val Loss: 0.8977842789429885, Val Acc: 0.9217199087142944
INFO:root:Epoch: 32, Train Loss: 0.9129512682557106, Train Acc: 0.9153311848640442, Val Loss: 0.897840481538039, Val Acc: 0.9229605793952942
INFO:root:Epoch: 33, Train Loss: 0.9130987908977729, Train Acc: 0.9152476787567139, Val Loss: 0.8978391473109906, Val Acc: 0.9229605793952942
INFO:root:Epoch: 34, Train Loss: 0.9128345056222036, Train Acc: 0.9153589606285095, Val Loss: 0.8978818792563218, Val Acc: 0.9217199087142944
INFO:root:Epoch: 35, Train Loss: 0.9130507592971508, Train Acc: 0.9152476787567139, Val Loss: 0.8977978871418879, Val Acc: 0.9229605793952942
