INFO:root:Epoch: 0, Train Loss: 1.3609092980623245, Train Acc: 0.7520977854728699, Val Loss: 1.3156357728517973, Val Acc: 0.75
INFO:root:Epoch: 1, Train Loss: 1.2776557550980494, Train Acc: 0.7830278873443604, Val Loss: 1.1957957652898936, Val Acc: 0.8349294662475586
INFO:root:Epoch: 2, Train Loss: 1.1830516308546066, Train Acc: 0.8241937160491943, Val Loss: 1.0861198260233953, Val Acc: 0.8957234621047974
INFO:root:Epoch: 3, Train Loss: 1.1361685051367834, Train Acc: 0.8369308114051819, Val Loss: 1.0271682097361639, Val Acc: 0.9083436727523804
INFO:root:Epoch: 4, Train Loss: 1.1012017795672784, Train Acc: 0.8475227355957031, Val Loss: 0.9901161606495197, Val Acc: 0.9173968434333801
INFO:root:Epoch: 5, Train Loss: 1.0738645522640302, Train Acc: 0.8549596071243286, Val Loss: 0.9661062038861788, Val Acc: 0.9137523174285889
INFO:root:Epoch: 6, Train Loss: 1.0677712015234506, Train Acc: 0.8576778173446655, Val Loss: 0.9497004839090201, Val Acc: 0.9185987710952759
INFO:root:Epoch: 7, Train Loss: 1.048830503454575, Train Acc: 0.8637625575065613, Val Loss: 0.9393414809153631, Val Acc: 0.9185987710952759
INFO:root:Epoch: 8, Train Loss: 1.0505477035274873, Train Acc: 0.8627331852912903, Val Loss: 0.9312527408966651, Val Acc: 0.9234064817428589
INFO:root:Epoch: 9, Train Loss: 1.0357983140991285, Train Acc: 0.8658798933029175, Val Loss: 0.9265990990858811, Val Acc: 0.9216035604476929
INFO:root:Epoch: 10, Train Loss: 1.0275086680283914, Train Acc: 0.8694800734519958, Val Loss: 0.921312153339386, Val Acc: 0.9222045540809631
INFO:root:Epoch: 11, Train Loss: 1.0412024001662548, Train Acc: 0.8631755113601685, Val Loss: 0.9182117168719952, Val Acc: 0.9216035604476929
INFO:root:Epoch: 12, Train Loss: 1.0242334271852787, Train Acc: 0.8698334097862244, Val Loss: 0.9157286423903245, Val Acc: 0.9216035604476929
INFO:root:Epoch: 13, Train Loss: 1.024783461712874, Train Acc: 0.8684617280960083, Val Loss: 0.9149537957631625, Val Acc: 0.9204404354095459
INFO:root:Epoch: 14, Train Loss: 1.0184120782292807, Train Acc: 0.8718699812889099, Val Loss: 0.9125640392303467, Val Acc: 0.9216423630714417
INFO:root:Epoch: 15, Train Loss: 1.0106561848750482, Train Acc: 0.8761796951293945, Val Loss: 0.91165436231173, Val Acc: 0.9204404354095459
INFO:root:Epoch: 16, Train Loss: 1.019914678656138, Train Acc: 0.8691768050193787, Val Loss: 0.9112132237507746, Val Acc: 0.9216423630714417
INFO:root:Epoch: 17, Train Loss: 1.0117076159669802, Train Acc: 0.8750723600387573, Val Loss: 0.9097202190986047, Val Acc: 0.9204016327857971
INFO:root:Epoch: 18, Train Loss: 1.0053489592212896, Train Acc: 0.8771200776100159, Val Loss: 0.9083138337502112, Val Acc: 0.9204016327857971
INFO:root:Epoch: 19, Train Loss: 1.0134332575477087, Train Acc: 0.8726267218589783, Val Loss: 0.9080144671293405, Val Acc: 0.9204016327857971
INFO:root:Epoch: 20, Train Loss: 1.0111252430539865, Train Acc: 0.8752559423446655, Val Loss: 0.907476741534013, Val Acc: 0.9204016327857971
INFO:root:Epoch: 21, Train Loss: 1.0086195738269732, Train Acc: 0.8741792440414429, Val Loss: 0.9066759989811823, Val Acc: 0.9204016327857971
INFO:root:Epoch: 22, Train Loss: 1.0056000483723788, Train Acc: 0.8753783702850342, Val Loss: 0.9066316439555242, Val Acc: 0.9204016327857971
